DOC,Titre,Chapitre,Section,Article,Contenu,Pages
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 12 : [modifié et complété par l’article premier de la loi 78-12],"Outre les mentions énumérées à l'article 2 de la présente loi, et sans préjudice de toutes autres mentions utiles, les statuts de la société doivent contenir les mentions suivantes : 1) le nombre d'actions émises et leur valeur nominale, en distinguant, le cas échéant, les différentes catégories d'actions créées et les droits afférents à chacune de ces catégories ; 2) la forme, soit exclusivement nominative, soit nominative ou au porteur, des actions ; 3) en cas de restriction à la libre négociation ou cession des actions, les conditions particulières auxquelles est soumis l'agrément des cessionnaires ; 4) l'identité des apporteurs en nature, l'évaluation de l'apport effectué par chacun d'eux et le nombre d'actions remises en contrepartie de l'apport ; 5) l'identité des bénéficiaires d'avantages particuliers et la nature de ceux-ci ; 6) les clauses relatives à la composition, au fonctionnement et aux pouvoirs des organes de la société; 7) les dispositions relatives à la répartition des bénéfices, à la constitution de réserves et à la répartition du boni de liquidation. Si les statuts ne contiennent pas toutes les énonciations exigées par la loi et les règlements ou si une formalité prescrite par ceux-ci pour la constitution de la société a été omise ou irrégulièrement accomplie, tout intéressé est recevable à demander en justice que soit ordonnée sous astreinte la régularisation de la constitution. Le ministère public peut agir aux mêmes fins. L'action prévue à l'alinéa ci-dessus se prescrit par trois ans à compter, soit de l'immatriculation de la société au registre du commerce, soit de l'inscription modificative à ce registre et du dépôt, en annexe, des actes modifiant les statuts.",[7]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 13 :,"La publicité au moyen d'avis ou annonces est faite, selon le cas, par insertions au "" Bulletin Officiel "" ou dans un journal d'annonces légales.",[7]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 14 :,La publicité par dépôt d'actes ou de pièces est faite au greffe du tribunal auprès duquel le registre du commerce est tenu. Tout dépôt d'actes ou de pièces visé à l'alinéa précédent est fait en double exemplaire certifiés conformes par l'un des fondateurs ou des représentants légaux de la société.,"[7, 8]"
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 15 :,"La publicité est effectuée à la diligence et sous la responsabilité des représentants légaux de la société ou par tout mandataire qualifié. Au cours de la liquidation, le liquidateur accomplit, sous sa responsabilité, les formalités de publicité incombant aux représentants légaux. Lorsqu'une formalité de publicité ne portant ni sur la constitution de la société, ni sur la modification de ses statuts a été omise ou irrégulièrement accomplie et si la société n'a pas régularisé la situation dans le délai de trente jours à compter de la date de réception de la mise en demeure qui lui a été adressée, tout intéressé peut demander au président du tribunal, statuant en référé, de désigner un mandataire chargé d'accomplir la formalité.",[8]
Loi n° 17-95,TITRE PREMIER DISPOSITIONS GENERALES,,,Article 16 :,"En ce qui concerne les opérations de la société intervenues avant le seizième jour de la publication au "" Bulletin officiel "" des actes et pièces soumis à cette publicité, ces actes et pièces ne sont pas opposables aux tiers qui prouvent qu'ils ont été dans l'impossibilité d'en avoir connaissance. Si dans la publicité des actes et pièces visés à l'article 14 ci-dessus, il y a discordance entre le texte déposé au registre du commerce et le texte publié au "" Bulletin Officiel "", ce dernier ne peut être opposé aux tiers ; ceux-ci peuvent toutefois s'en prévaloir, à moins que la société ne prouve qu'ils ont eu connaissance du texte déposé au registre du commerce. DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES","[8, 9]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 17 : (Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"La société anonyme est constituée par l'accomplissement des quatre actes ci-après : 1) la signature des statuts par tous les actionnaires ; à défaut, la réception par le ou les fondateurs du dernier bulletin de souscription ; 2) la libération de chaque action de numéraire d'au moins le quart de sa valeur nominale, conformément à l'article 21 ; 3) le transfert à la société en formation des apports en nature après leur évaluation conformément aux articles 24 et suivants ; 4) l'accomplissement des formalités de publicité prévues à l'article 31.",[9]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 18 :,"Les statuts sont signés par les actionnaires soit en personne, soit par mandataire justifiant d'un pouvoir spécial.",[9]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 19 : (Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Si la société fait publiquement appel à l'épargne, les statuts signés des fondateurs sont déposés au greffe du tribunal dans le ressort duquel se trouve le siège de la société en formation ou à l'étude d'un notaire. Le bulletin de souscription d'actions doit contenir les mentions fixées par décret et mentionner expressément que les statuts peuvent être consultés audit greffe ou étude avec droit d'en prendre copie aux frais du demandeur.",[9]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 20 : (Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Les premiers administrateurs, les premiers membres du conseil de surveillance et les premiers commissaires aux comptes sont désignés soit par les statuts, soit dans un acte séparé mais faisant corps avec les statuts et signé dans les mêmes conditions. Leur prise de fonctions est effective à compter de l'immatriculation de la société au registre du commerce. Les personnes désignées pour être administrateurs sont habilitées dès leur nomination à désigner le président du conseil d'administration et, le cas échéant, le ou les directeurs généraux et le ou les directeurs généraux délégués. Les personnes désignées pour être membres du conseil de surveillance sont habilitées, dès leur nomination, à désigner les membres du directoire.","[9, 10]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 21 : (Modifié par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Le capital doit être intégralement souscrit. A défaut, la société ne peut être constituée. Les actions représentatives d'apports en numéraire doivent être libérées lors de la souscription du quart au moins de leur valeur nominale. La libération du surplus intervient en une ou plusieurs fois sur décision du conseil d'administration ou du directoire dans un délai qui ne peut excéder trois ans à compter de l'immatriculation de la société au registre du commerce. A défaut, tout intéressé peut demander au président du tribunal de commerce compétent, statuant en référé, d'ordonner à la société, sous astreinte, de procéder aux appels de fonds non libérés. Les actions représentatives d'apports en nature sont libérées intégralement lors de leur émission.",[10]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 22 :,"Les fonds provenant des souscriptions en numéraire sont déposés au nom de la société en formation, dans un compte bancaire bloqué, avec la liste des souscripteurs et l'indication des sommes versées par chacun d'eux. Ce dépôt doit être fait dans un délai de huit Jours à compter de la réception des fonds. Le dépositaire des fonds est tenu, jusqu'au retrait de ceux-ci, de communiquer la liste visée au 1er alinéa ci-dessus à tout souscripteur qui justifie de sa souscription. Le requérant peut en prendre connaissance et obtenir à ses frais la délivrance d'une copie.",[10]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 23 :,"Les souscriptions et les versements sont constatés par une déclaration des fondateurs dans un acte notarié ou sous seing privé déposé au greffe du tribunal du lieu du siège social. Le notaire ou le secrétaire-greffier pour les actes autres que notariés, sur présentation des bulletins de souscription et d'un certificat de la banque dépositaire, vérifie la conformité de la déclaration des fondateurs aux documents qui lui sont présentés. A la déclaration sont annexés la liste des souscripteurs, l'état des versements effectués par chacun d'eux et un exemplaire ou une expédition des statuts.","[10, 11]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 24 : (Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Les statuts contiennent la description et l'évaluation des apports en nature. Il y est procédé au vu d'un rapport annexé aux statuts et établi sous leur responsabilité par un ou plusieurs commissaires aux apports désignés par les fondateurs. Si des avantages particuliers sont stipulés au profit de personnes associées ou non, la même procédure est suivie. Au sens de la présente loi, on entend par avantage particulier un droit préférentiel sur les bénéfices et le boni de liquidation. Ces apports en nature et avantages particuliers peuvent également faire l'objet d'un acte séparé mais faisant corps avec les statuts et signé dans les mêmes conditions. Les dispositions du présent article ne sont pas applicables aux sociétés d'Etat, aux filiales publiques et aux sociétés mixtes telles que définies par l'article premier de la loi n° 69-00 relative au contrôle financier de l'Etat sur les entreprises publiques et autres organismes, promulguée par le dahir n° 1-03-195 du 16 ramadan 1424 (11 novembre 2003).",[11]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 25 :,"Le ou les commissaires aux apports sont choisis parmi les personnes habilitées à exercer les fonctions de commissaires aux comptes. Ils sont soumis aux incompatibilités prévues à l'article 161 de la présente loi. Ils peuvent se faire assister, dans l'accomplissement de leur mission, par un ou plusieurs experts de leur choix. Les honoraires de ces experts sont à la charge de la société. Leur rapport décrit chacun des apports, indique quel mode d'évaluation a été adopté et pourquoi il a été retenu, affirme que la valeur des apports correspond au moins à la valeur nominale des actions à émettre.",[11]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 26 : (Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Le rapport du ou des commissaires aux apports est déposé au siège social et au greffe et tenu à la disposition des futurs actionnaires cinq jours au moins avant la signature des statuts par lesdits actionnaires. Si la société fait publiquement appel à l'épargne, ce rapport est déposé avec les statuts dans les conditions prévues à l'article 19. Un exemplaire dudit rapport est remis au conseil déontologique des valeurs mobilières selon les modalités fixées par ce dernier.","[11, 12]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 27 :,"Les personnes qui ont agi au nom d'une société en formation avant qu'elle n'ait acquis la personnalité morale sont tenues solidairement et indéfiniment des actes ainsi accomplis au nom de la société, à moins que la première assemblée générale ordinaire ou extraordinaire de la société régulièrement constituée et immatriculée ne reprenne les engagements nés desdits actes. Ces engagements sont alors réputés avoir été souscrits dès l'origine par la société.",[12]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 28 :,"Dans le cas où, pour quelque raison que ce soit, la société n'est pas constituée, les fondateurs n'ont pas de recours contre les souscripteurs du fait des engagements souscrits ou des dépenses faites, sauf en cas de dol ou de non-respect de leurs engagements par lesdits souscripteurs, si la société n'a pas été constituée par leur faute.",[12]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 29 : Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1 08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"L'état des actes accomplis pour le compte de la société en formation conformément à l'article 27 ci-dessus, avec l'indication pour chacun d'eux, de l'engagement qui en résulterait pour la société, est tenu à la disposition des actionnaires dans les conditions prévues à l'article 26 de la présente loi. La signature des statuts emportera reprise de ces engagements par la société lorsque celle-ci aura été immatriculée au registre de commerce. S'il n'est pas fait publiquement appel à l'épargne, les actionnaires peuvent, dans les statuts ou par acte séparé, donner mandat à un ou plusieurs d'entre eux de prendre des engagements pour le compte de la société. Sous réserve qu'ils soient déterminés et que leurs modalités soient précisées par le mandat, l'immatriculation de la société au registre du commerce emportera reprise par elle de ces engagements. S'il est fait publiquement appel à l'épargne, l'immatriculation de la société au registre du commerce emportera reprise des engagements par la société si la première assemblée générale ordinaire ou extraordinaire en décide ainsi. Qu'il soit ou non fait publiquement appel à l'épargne, les actes accomplis pour le compte de la société en formation qui n'ont pas été portés à la connaissance des futurs actionnaires conformément aux trois alinéas qui précèdent, doivent être repris par décision de l'assemblée générale ordinaire des actionnaires.","[12, 13]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 30 : (Abrogé par l'article 4 de la loi n° 20-05 promulguée par le dahir n° 1-08- 18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,,[13]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 31 : alinéa 2 abrogé par l’article 3 de la loi 78-12,"A peine d'irrecevabilité de la demande d'immatriculation de la société au registre du commerce, les fondateurs et les premiers membres des organes d'administration, du directoire et du conseil de surveillance sont tenus de déposer au greffe : 1) (Abrogé par l'article 4 de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008). 2) l'original ou une expédition des statuts ; 3) une expédition du certificat de souscription et de versement des fonds indiquant les souscriptions au capital social ainsi que la part des actions libérée par chaque actionnaire ; 4) la liste légalisée des souscripteurs indiquant, outre leur prénom, nom, adresse, nationalité, qualité et profession, le nombre des actions souscrites et le montant des versements effectués par chacun d'eux ; 5) le rapport du commissaire aux apports, le cas échéant ; 6) une copie du document de désignation des premiers membres des organes d'administration, de gestion ou de direction et des premiers commissaires aux comptes, lorsque ladite désignation intervient par acte séparé.",[13]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 32 :,Les sociétés anonymes sont immatriculées au registre du commerce dans les conditions prévues par la législation relative audit registre.,[13]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,"Article 33 : (Abrogé et remplacé, par l'article 2 de la loi n° 20-05 promulguée par le dahir n°1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).","Après immatriculation au registre du commerce, la constitution de la société fait l'objet d'une publicité au moyen d'avis au « Bulletin officiel » et dans un journal d'annonces légales dans un délai ne dépassant pas les trente jours. Cet avis contient les mentions suivantes : 1) la dénomination sociale suivie, le cas échéant, du sigle de la société ; 2) la forme de la société ; 3) l'objet social indiqué sommairement ; 4) la durée pour laquelle la société a été constituée ; 5) l'adresse du siège social ; 6) le montant du capital social avec l'indication du montant des apports en numéraire ainsi que la description sommaire et l'évaluation des apports en nature ; 7) les prénom, nom, qualité et domicile des administrateurs ou des membres du conseil de surveillance et du ou des commissaires aux comptes ; 8) les dispositions statutaires relatives à la constitution de réserves et à la répartition des bénéfices ; 9) les avantages particuliers stipulés au profit de toute personne ; 10) le cas échéant, l'existence de clauses relatives à l'agrément des cessionnaires d'actions et la désignation de l'organe social habilité à statuer sur les demandes d'agrément ; 11) le numéro d'immatriculation au registre du commerce. Cet avis est signé par le notaire ou la partie qui a dressé l'acte de la société, le cas échéant, ou par l'un des fondateurs, par un administrateur ou par un membre du conseil de surveillance ayant reçu un pouvoir spécial à cet effet.","[13, 14]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 34 : [modifié et complété par l’article premier de la loi 78-12],Le retrait des fonds provenant des souscriptions en numéraire est effectué par le mandataire du conseil d'administration ou du directoire contre remise d'une attestation délivrée par l'administration compétente justifiant que la société est immatriculée au registre du commerce.,[14]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 35 :,"En cas de non constitution de la société dans un délai de six mois après le dépôt des fonds, les fondateurs sont tenus de les restituer aux souscripteurs. Tout souscripteur peut demander qu'il soit rendu une ordonnance de référé désignant une personne chargée de se faire restituer les fonds versés et de les distribuer aux souscripteurs. La société est réputée n'avoir pas été constituée dans le délai prévu à l'alinéa précèdent lorsque l'ensemble des actes prévus à l'article 17 n'ont pas été accomplis avant l'expiration dudit délai.",[14]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 36 :,"En cas de transformation en société anonyme d'une société déjà existante, un ou plusieurs commissaires à la transformation chargés d'apprécier sous leur responsabilité la valeur des éléments de l'actif et du passif de la société et les avantages particuliers, sont désignés, sauf accord unanime des associés, par ordonnance de référé, à la demande des dirigeants sociaux ou de l'un d'eux. Les commissaires à la transformation sont également chargés de l'établissement du rapport sur la situation de la société. Les associés statuent sur l'évaluation des éléments et l'octroi des avantages visés à l'alinéa précédent ; ils ne peuvent les réduire qu'à l'unanimité. Les dispositions du premier et du deuxième alinéa de l'article 25 sont applicables aux commissaires à la transformation. Le rapport des commissaires à la transformation doit attester que la situation nette de la société transformée est au moins égale au montant de son capital social. Il est tenu au siège social à la disposition des associés huit jours au moins avant la date de l'assemblée appelée à statuer sur la transformation. En cas de consultation écrite, le texte du rapport doit être adressé à chacun des associés et joint au texte des résolutions proposées. A défaut d'approbation unanime des associés, mentionnée au procès-verbal, la transformation est nulle.","[14, 15]"
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 37 :,"Sont soumis aux mêmes conditions de dépôt et de publication : - tout acte, délibération ou décision ayant pour effet la modification des statuts, à l'exception du changement des administrateurs, des membres du conseil de surveillance et des commissaires aux comptes initialement désignés dans ces statuts ; - tout acte, délibération ou décision constatant la dissolution de la société avec l'indication des prénom, nom, domicile des liquidateurs ainsi que du siège de la liquidation ; - toute décision judiciaire prononçant la dissolution ou la nullité de la société ; - tout acte, délibération ou décision constatant la clôture de la liquidation. Les publications prévues au présent article doivent être accomplies dans le délai de 30 jours à compter de la date des actes, délibérations, décisions ou décisions judiciaires précités.",[15]
Loi n° 17-95,TITRE II DE LA CONSTITUTION ET DE L'IMMATRICULATION DES SOCIETES ANONYMES,Chapitre II : Des sanctions pénales 146,Section III : Des infractions relatives aux obligations 138,Article 38 : (Complété par l'article 1er de la loi n° 20-05 promulguée par le dahir n° 1-08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).,"Ne peuvent fonder une société anonyme, les personnes déchues du droit d'administrer ou de gérer une société ou auxquelles l'exercice de ces fonctions est interdit, ainsi que les personnes condamnées depuis moins de cinq ans pour vol, détournement de fonds, abus de confiance ou escroquerie. DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES","[15, 16, 17]"
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 39 :,"La société anonyme est administrée par un conseil d'administration composé de trois membres au moins et de douze membres au plus. Ce dernier nombre est porté à quinze lorsque les actions de la société sont inscrites à la cote de la bourse des valeurs. Toutefois, en cas de fusion, ces nombres de douze et quinze pourront être dépassés jusqu'à concurrence du nombre total des administrateurs en fonction depuis plus de six mois dans les sociétés fusionnées, sans pouvoir être supérieurs à vingt-quatre, vingt-sept dans le cas d'une fusion d'une société dont les actions sont inscrites à la cote de la bourse des valeurs et d'une autre société, trente dans le cas d'une fusion de deux sociétés dont les actions sont inscrites à la cote de la bourse des valeurs. Sauf en cas de nouvelle fusion, il ne pourra être procédé à aucune nomination de nouveaux administrateurs, ni au remplacement des administrateurs décédés, révoqués ou démissionnaires tant que le nombre des administrateurs n'aura pas été réduit à douze ou à quinze, lorsque les actions de la société sont inscrites à la cote de la bourse des valeurs. En cas de décès, de révocation ou de démission du président du conseil d'administration et si le conseil n'a pu le remplacer par un de ses membres, il pourra nommer, sous réserve des dispositions de l'article 49, un administrateur supplémentaire qui sera appelé aux fonctions de président.",[17]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 40 :,"Les administrateurs sont nommés par l'assemblée générale ordinaire. Conformément à l'article 20, les premiers administrateurs sont nommés par les statuts ou dans un acte séparé faisant corps avec lesdits statuts. Toutefois, en cas de fusion ou de scission, la nomination peut être faite par l'assemblée générale extraordinaire. Toute nomination intervenue en violation des dispositions qui précèdent est nulle à l'exception de celles auxquelles il peut être procédé dans les conditions prévues à l'article 49.","[17, 18]"
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 41 :,"Les administrateurs, personnes physiques ou morales, sont soumis aux conditions de capacité et aux règles d'incompatibilité prévues par les lois en vigueur et, le cas échéant, par les statuts. Le mandat d'administrateur est incompatible avec les fonctions de commissaire aux comptes de la société dans les conditions prévues à l'article 161.",[18]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 42 : [modifié et complété par l’article premier de la loi 78-12],"Sauf dispositions contraires des statuts, une personne morale peut être nommée administrateur. Lors de sa nomination, elle est tenue de désigner un représentant permanent qui est soumis aux mêmes conditions et obligations et qui encourt les mêmes responsabilités civile et pénale que s'il était administrateur en son propre nom et ce, sans préjudice de la responsabilité solidaire de la personne morale qu'il représente. Si la personne morale révoque le mandat de son représentant permanent, elle est tenue de notifier sans délai à la société, par lettre recommandée, cette révocation ainsi que l'identité de son nouveau représentant permanent. Il en est de même en cas de décès ou de démission de ce dernier.",[18]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 43 :,Un salarié de la société ne peut être nommé administrateur que si son contrat de travail correspond à un emploi effectif. Il ne perd pas le bénéfice de ce contrat de travail. Toute nomination intervenue en violation des dispositions du présent article est nulle. Cette nullité n'entraîne pas celle des délibérations auxquelles a pris part l'administrateur irrégulièrement nommé. Le nombre des administrateurs liés à la société par contrats de travail ne peut dépasser le tiers des membres du conseil d'administration.,[18]
Loi n° 17-95,TITRE III DE L'ADMINISTRATION ET DE LA DIRECTION DES SOCIETES ANONYMES,Chapitre Premier : De la société à conseil d'administration,Section I : Des organes d'administration et de direction,Article 44 :,"Chaque administrateur doit être propriétaire d'un nombre d'actions de la société, déterminé par les statuts. Ce nombre ne peut être inférieur à celui exigé par les statuts pour ouvrir aux actionnaires le droit d'assister à l'assemblée générale ordinaire, le cas échéant. (Alinéas 2 et 3, abrogé par l'article 4 de la loi n° 20-05 promulguée par le dahir n° 1- 08-18 du 23 mai 2008 - 17 joumada I 1429 ; B.O. n° 5640 du 19 juin 2008).",[18]
