Doc,Chapitre,Titre,SousTitre1,SousTitre2,SousTitre3,Article,Contenu,Pages
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 11 - - Changement de la banque domiciliataire,"Les personnes physiques ou morales ayant domicilié des dossiers ou des comptes, auprès d’une banque dans le cadre des dispositions de la présente Instruction, peuvent procéder au changement de la banque domiciliataire sur la base d’une attestation justifiant les règlements effectués par la première banque.",[23]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 12 - - Impôts et taxes,Les règlements exécutés par les banques au titre des opérations d’importation de services doivent donner lieu au paiement de la retenue à la source conformément aux dispositions prévues en matière fiscale. Les transferts doivent porter sur le montant net d’impôt dans le cas où le paiement de l’impôt est à la charge de l’opérateur non résident.,[23]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 13 - - Justificatifs de règlements,"Les justificatifs de règlements à destination ou en provenance de l’étranger se présentent comme suit :  Formule 1 : Vente de devises à la clientèle ;  Formule 2 : Achat de devises à la clientèle ;  Formule 3 : Débit du compte en dirhams convertibles d’un correspondant étranger au bénéfice d’un client résident ;  Formule 4 : Débit du compte en dirhams convertibles d’un client étranger ou d’un marocain résidant à l’étranger pour le financement d’une opération d’investissement au Maroc ;  Formule 5 : Crédit du compte en devises d’un exportateur ;  Formule 6 : Débit du compte en devises d’un exportateur ;  L’avis de crédit faisant référence à l’opération de change concernée ;  L’avis de débit d’un compte en dirhams convertibles ;  L’avis de débit d’un compte en devises ;  Le bordereau de change, délivré par une banque ou par un opérateur de change manuel comportant le nom de l’exportateur ou du client étranger accompagné de la déclaration douanière souscrite à l’importation des billets de banque étrangers. Ce bordereau doit être visé et cacheté par l’entité ayant effectué l’opération de change manuel ;  Le talon du mandat international si le règlement est effectué par voie postale ;  Les facturettes relatives aux règlements effectués par les touristes étrangers au moyen de leurs cartes de paiement internationales ou un relevé des règlements délivrés par le réseau d’acceptation. Les banques sont tenues, pour tout règlement, d’établir les justificatifs de règlement précités, dûment libellés, et de remettre copie à leurs clients.","[23, 24]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 14 - - Annulation de règlements au profit de non-résidents ou à destination de l’étranger,"Les donneurs d’ordres et/ou les banques sont tenus d’engager la procédure d’annulation de tout règlement à destination de l’étranger ou au profit d’un non-résident si l’opération qui l’a motivée est annulée en totalité ou en partie. L’annulation du règlement doit se traduire à due concurrence, déduction faite le cas échéant des frais bancaires, par le rapatriement et la cession sur le marché des changes, sans délais, des devises précédemment transférées ou par le débit du compte en devises ou en dirhams convertibles des étrangers résidents ou non-résidents et des marocains résidant à l’étranger initialement crédité et ce, suite à la notification de l’annulation du règlement par le client et dès confirmation de cette annulation par la banque étrangère.",[24]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 15 - - Annulation de règlements au profit de résidents ou en provenance de l’étranger," Les banques sont autorisées à procéder à l’annulation, en totalité ou en partie, de tout règlement au profit de résidents en provenance de l’étranger au titre des :  Encaissements par erreur ou faisant double emploi ;  Encaissements portant sur le montant de chèques et effets tirés sur l’étranger et retournés « impayés » ;  Virements d’allocations familiales, de pensions ou de rentes devant être restitués à l’organisme émetteur ;  Virements émanant de l’étranger et devant être rétrocédés, totalement ou partiellement, aux intéressés suite à des annulations pour non-utilisation. Les transferts à ce titre doivent être effectués par la banque qui a reçu initialement les fonds, sur présentation de tout document justifiant le rapatriement et la non-utilisation du montant en cause dans un délai ne dépassant pas une année de la date du règlement en provenance de l’étranger ayant fait l’objet d’annulation. Toutefois, pour les montants d’allocations familiales, de pensions ou de rentes devant être restitués à l’organisme émetteur, ils peuvent être transférés par une banque autre que celle ayant reçu les fonds et ce, sur présentation de la demande de restitution émanant de l’organisme émetteur. L’annulation du règlement peut se traduire, à due concurrence, par le rachat de devises sur le marché des changes ou par le crédit du compte en devises ou du compte en dirhams convertibles initialement débité. Les devises à transférer ou à inscrire au crédit des comptes précités ne doivent porter que sur le montant en devises initialement encaissé.","[24, 25]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 16 - - Règlements dans le cadre de la convention unifiée de paiement bilatéral entre le Maroc et les pays de l’Union du Maghreb Arabe (UMA),"Les règlements entre le Maroc et les pays de l’UMA  peuvent être effectués soit dans le cadre de la convention unifiée de paiement bilatéral conclue entre les pays de l’UMA, soit par l’intermédiaire du système bancaire conformément aux dispositions des articles 7 et 8 de la présente Instruction. Les règlements entre le Maroc et les pays de l'UMA ainsi que l'ensemble des documents y afférents doivent être libellés soit en l’une des monnaies des deux pays concernés par la transaction soit en une devise cotée conjointement par les deux pays. Les autres modalités pratiques d'exécution des règlements susvisés sont précisées par Bank Al Maghrib.",[25]
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 17 - - Immatriculation auprès de l’Office des Changes,"Pour bénéficier de certaines dispositions particulières prévues en leur faveur par la présente Instruction, les opérateurs de transport international, les sociétés relevant du secteur des industries aéronautiques et spatiales et les succursales d’entités non-résidentes imposées sur le plan fiscal comme des sociétés de droit marocain, doivent se faire immatriculer auprès de l’Office des Changes. Sont également tenus de s’immatriculer auprès de l’Office des Changes, les opérateurs de négoce international désirant procéder au règlement de factures d’achat de biens avant le rapatriement du produit de la revente. L’Office des Changes délivre à chaque opérateur éligible une lettre portant un numéro d’immatriculation invariable, dont copie doit être présentée à la banque. Le numéro d’immatriculation doit figurer sur tous les documents à présenter aux banques pour la réalisation des règlements au titre des opérations prévues par les dispositions de la présente Instruction. Pour se faire immatriculer, les entités susvisées doivent présenter, dans les conditions fixées par l’Office des Changes, une demande selon le modèle joint en annexe 2 de la présente Instruction. La succursale imposée sur le plan fiscal comme une société de droit marocain peut réaliser librement les opérations courantes telles qu’elles sont définies par la réglementation des changes en vigueur dans les conditions et selon modalités fixées par ladite réglementation. Elle demeure soumise aux mêmes obligations prévues par la réglementation des changes pour les personnes résidentes, en matière de rapatriement des produits des exportations et toute créance sur une entité non résidente, et ce, dans les conditions prévues par ladite réglementation.","[25, 26]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 17 bis - - Catégorisation,"Les personnes morales marocaines catégorisées par l’Administration des Douanes et Impôts Indirects (ADII) ou par l’Administration fiscale (DGI) ou disposant de la catégorisation commune de ces deux Administrations (ADII-DGI) peuvent, bénéficier du statut d’opérateur catégorisé auprès de l’Office des Changes. Les demandes de catégorisation doivent être présentées à l’Office des Changes selon le modèle prévu dans l’annexe (12) de la présente Instruction, accompagnées du justificatif de la catégorisation (ADII), (DGI) ou commune (ADII-DGI). Le dossier de demande de catégorisation, validé par l’Office des Changes, donne lieu à la délivrance d’un certificat portant statut d’opérateur catégorisé prévu par le présent article. Les opérateurs catégorisés par l’Office des Changes bénéficient des avantages et facilités de change suivants :  Règlement par anticipation des importations de biens à hauteur de 100% de la valeur de l’opération d’importation ;  Alimentation des comptes en devises ou en dirhams convertibles des exportateurs à hauteur de 85% du produit des exportations ;  Règlement à l’avance des fournisseurs avant encaissement auprès des clients pour les opérations de négoce international au titre d’opérations de négoce de biens ;  Octroi de dotations commerce électronique à hauteur de 100% de l’Impôt sur les sociétés (IS) payé au titre de l’année N-1 dans la limite d’un (1) million Dirhams pour les opérateurs qui ne disposent pas de comptes en devises ou en dirhams convertibles ;  Octroi de dotations pour voyages d’affaires à hauteur de 100% de l’Impôt sur les Sociétés (IS) payé au titre de l’année N-1 dans la limite d’un (1) million de dirhams pour les opérateurs qui ne disposent pas de comptes en devises ou en dirhams convertibles ;  Procédure accélérée pour le traitement des demandes d’autorisation auprès de l’Office des Changes. Pour la réalisation des règlements au titre des opérations relatives aux facilités et avantages prévus dans le présent article, la banque doit se faire remettre, en sus des documents requis par la présente Instruction pour chaque type d’opération, une copie du certificat, en cours de validité, portant statut d’opérateur catégorisé par l’Office des Changes. Le certificat de catégorisation accordé par l’Office des Changes peut être retiré dans les cas suivants :  Retrait de la catégorisation (DGI) ou (ADII) ou (ADII-DGI) ou non renouvellement par ces Administrations, après expiration ;  Abus de facilités et non-respect de la réglementation des changes.","[26, 27]"
IGOC 2024,CHAPITRE I : DISPOSITIONS GENERALES,2. PRINCIPES DE BASE,,,,Article 18 - - Déclarations et conservation de documents,"a-Déclaration des avoirs ou de liquidités à l’étranger Sauf dispositions règlementaires particulières, les personnes physiques marocaines résidentes qui entrent en possession d’avoirs ou de liquidités à l’étranger sont soumises à l’obligation de déclaration à l’Office des Changes de ces avoirs et liquidités dans un délai de 3 mois à compter de la date d’entrée desdits avoirs et liquidités dans leurs patrimoines et ce, conformément aux dispositions législatives en vigueur, cette déclaration doit être établie selon le modèle joint en annexe 11 de la présente Instruction. b-Déclarations bancaires Les banques sont tenues de procéder à des déclarations périodiques auprès de l’Office des Changes pour les opérations exécutées dans le cadre des dispositions de la présente Instruction. Les déclarations bancaires doivent être établies conformément aux modalités, procédures, délais et modèles fixés par le dispositif des déclarations bancaires. c-Conservation de documents Les banques, les opérateurs de change manuel et les établissements sous- délégataires sont tenus de conserver tout document en relation avec les opérations exécutées dans le cadre des dispositions de la présente Instruction et ce, conformément aux dispositions du code de commerce relatives à la conservation des documents. L’obligation de conservation des documents s’applique également aux personnes physiques et morales résidentes, aux représentations au Maroc d’entités non- résidentes, aux administrations publiques, aux collectivités locales ou leurs groupements, aux associations, aux fédérations et aux coopératives ayant réalisé les opérations prévues par les dispositions de la présente Instruction. Les personnes physiques de nationalité étrangère résidentes ou non-résidentes, les personnes physiques de nationalité marocaine résidant à l'étranger et les personnes morales étrangères sont tenues de procéder à la conservation des justificatifs de règlements de l’opération d’investissement étranger au Maroc, prévus par l’article 13 de la présente Instruction. 1-MARCHE DES CHANGES","[27, 28, 30]"
IGOC 2024,CHAPITRE II - MARCHE DES CHANGES ET OPERATIONS DE CHANGE MANUEL,1. MARCHE DES CHANGES,,,,Article 19 - - Principes de base,"Les banques sont autorisées à effectuer, pour leur propre compte ou pour le compte de leur clientèle, des opérations de change au comptant, des opérations de couverture, des opérations de prêts-emprunts conformément aux dispositions de la présente Instruction, et à constituer des positions de change, selon les modalités fixées par Bank Al Maghrib.",[30]
IGOC 2024,CHAPITRE II - MARCHE DES CHANGES ET OPERATIONS DE CHANGE MANUEL,1. MARCHE DES CHANGES,,,,Article 20 - - Opérations de change au comptant,"On entend par opérations de change au comptant :  L’achat et la vente de devises contre dirhams effectués par les banques entre elles, avec Bank Al Maghrib ou avec la clientèle ;  L’achat et la vente de devises contre devises effectués par les banques entre elles, avec la clientèle, avec les banques étrangères ou avec Bank Al-Maghrib. Les montants rapatriés et non versés dans les comptes en devises prévus par les dispositions de la réglementation des changes en vigueur, doivent être cédés dans les conditions du marché et suivant les modalités édictées par Bank Al Maghrib en matière de cours de change applicable et ce, dans les trois jours ouvrables qui suivent la réception des fonds par la banque. La contrevaleur en dirhams doit être immédiatement mise à la disposition du bénéficiaire par la banque ayant reçu les fonds.",[30]
IGOC 2024,CHAPITRE II - MARCHE DES CHANGES ET OPERATIONS DE CHANGE MANUEL,1. MARCHE DES CHANGES,,,,Article 21 - - Opérations de couverture contre le risque de fluctuation des cours de change, Les banques sont autorisées à effectuer entre elles ou pour le compte de la clientèle des opérations de couverture contre les risques de fluctuation des cours de change dans les conditions fixées au Chapitre III de la présente Instruction.,[30]
IGOC 2024,CHAPITRE II - MARCHE DES CHANGES ET OPERATIONS DE CHANGE MANUEL,1. MARCHE DES CHANGES,,,,Article 22 - - Opérations de prêts-emprunts,"Les banques sont autorisées à effectuer entre elles et pour le compte de la clientèle, des opérations de prêts, d’emprunts et de swaps, ainsi que des dépôts et emprunts auprès de Bank Al Maghrib.",[30]
